,Aspartate,Argininosuccinate,Fumarate,Arginine,Urea,Ornithine,Carbamoyl Phosphate,Citrulline,PPi,ATP,AMP,H2O,Pi,O2,NADPH,H+,NADP+,NO
C,4,10,4,6,1,5,1,6,0,10,10,0,0,0,21,0,21,0
H,7,18,4,14,4,12,4,13,4,16,14,2,3,0,30,1,29,0
N,1,4,0,4,2,2,1,3,0,5,5,0,0,0,7,0,7,1
O,4,6,4,2,1,2,5,3,7,13,7,1,4,2,17,0,17,1
P,0,0,0,0,0,0,1,0,2,3,1,0,1,0,3,0,3,0
S,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Reactants,,,,,,,,Products,,,,,,,,,
,C,H,N,O,P,S,,,C,H,N,O,P,S,,,,
Aspartate,4,7,1,4,0,,,,-4,-7,-1,-4,0,,,,,
Argininosuccinate,10,18,4,6,0,,,,-10,-18,-4,-6,0,,,,,
Fumarate,4,4,0,4,0,,,,-4,-4,0,-4,0,,,,,
Arginine,18,42,12,6,0,,,,-18,-42,-12,-6,0,,,,,
Urea,1,4,2,1,0,,,,-1,-4,-2,-1,0,,,,,
Ornithine,5,12,2,2,0,,,,-5,-12,-2,-2,0,,,,,
Carbamoyl Phosphate,1,4,1,5,1,,,,-1,-4,-1,-5,-1,,,,,
Citrulline,18,39,9,9,0,,,,-18,-39,-9,-9,0,,,,,
PPi,0,4,0,7,2,,,,0,-4,0,-7,-2,,,,,
ATP,10,16,5,13,3,,,,-10,-16,-5,-13,-3,,,,,
AMP,10,14,5,7,1,,,,-10,-14,-5,-7,-1,,,,,
H2O,0,10,0,5,0,,,,0,-14,0,-7,0,,,,,
Pi,0,3,0,4,1,,,,0,-3,0,-4,-1,,,,,
O2,0,0,0,10,0,,,,0,0,0,-8,0,,,,,
NADPH,84,120,28,68,12,,,,-63,-90,-21,-51,-9,,,,,
H+,0,6,0,0,0,,,,0,-3,0,0,0,,,,,
NADP+,63,87,21,51,9,,,,-84,-116,-28,-68,-12,,,,,
NO,0,0,3,3,0,,,,0,0,-3,-3,0,,,,,
,,,,,,,,,,,,,,,,,,
,228,390,93,205,29,0,,,-228,-390,-93,-205,-29,0,,,,
